"
Time","
Stock Daily Close - Unadjusted Prices USA OTC OTC Bulletin Board Markets IWSY Imageware Systems Inc  -   - USD"
"20010427",5.65
"20010430",5.1
"20010501",5.4
"20010502",5.5
"20010503",5.69
"20010504",5.6
"20010507",5.35
"20010508",5.95
"20010509",6.0
"20010510",6.25
"20010511",6.2
"20010514",6.05
"20010515",5.99
"20010516",5.97
"20010517",5.85
"20010518",5.99
"20010521",5.92
"20010522",6.05
"20010523",6.09
"20010524",5.99
"20010525",6.05
"20010529",6.0
"20010530",6.0
"20010531",6.0
"20010601",5.95
"20010604",5.85
"20010605",5.8
"20010606",5.78
"20010607",5.84
"20010608",5.84
"20010611",5.9
"20010612",5.9
"20010613",5.8
"20010614",5.49
"20010615",5.37
"20010618",5.37
"20010619",4.75
"20010620",4.8
"20010621",5.0
"20010622",4.89
"20010625",4.89
"20010626",5.0
"20010627",5.0
"20010628",4.75
"20010629",4.7
"20010702",4.7
"20010703",4.7
"20010705",4.6
"20010706",4.4
"20010709",4.6
"20010710",4.1
"20010711",4.0
"20010712",3.41
"20010713",3.25
"20010716",3.22
"20010717",3.3
"20010718",3.29
"20010719",3.26
"20010720",3.25
"20010723",3.01
"20010724",3.0
"20010725",3.0
"20010726",3.0
"20010727",3.0
"20010730",3.09
"20010731",3.0
"20010801",3.0
"20010802",3.0
"20010803",3.0
"20010806",3.0
"20010807",3.0
"20010808",3.0
"20010809",3.0
"20010810",3.0
"20010813",2.97
"20010814",3.0
"20010815",3.04
"20010816",3.19
"20010817",3.19
"20010820",3.1
"20010821",3.06
"20010822",2.9
"20010823",3.0
"20010824",2.95
"20010827",2.95
"20010828",2.75
"20010829",2.6
"20010830",2.55
"20010831",2.5
"20010904",2.84
"20010905",3.0
"20010906",2.9
"20010907",2.65
"20010910",2.6
"20010917",3.5
"20010918",3.8
"20010919",4.5
"20010920",5.5
"20010921",5.2
"20010924",6.51
"20010925",7.84
"20010926",7.55
"20010927",6.67
"20010928",6.24
"20011001",6.15
"20011002",6.2
"20011003",5.77
"20011004",5.44
"20011005",6.41
"20011008",7.41
"20011009",7.86
"20011010",7.19
"20011011",6.76
"20011012",6.91
"20011015",6.96
"20011016",6.9
"20011017",6.63
"20011018",6.99
"20011019",7.5
"20011022",7.75
"20011023",8.51
"20011024",7.81
"20011025",8.12
"20011026",8.1
"20011029",8.25
"20011030",8.5
"20011031",9.09
"20011101",8.89
"20011102",8.5
"20011105",8.3
"20011106",7.4
"20011107",7.49
"20011108",7.45
"20011109",7.44
"20011112",7.06
"20011113",7.15
"20011114",7.15
"20011115",7.25
"20011116",7.14
"20011119",6.46
"20011120",6.05
"20011121",5.7
"20011123",5.78
"20011126",6.0
"20011127",6.0
"20011128",5.71
"20011129",6.0
"20011130",5.7
"20011203",5.95
"20011204",5.99
"20011205",5.45
"20011206",5.23
"20011207",5.45
"20011210",5.24
"20011211",5.5
"20011212",6.8
"20011213",7.02
"20011214",6.96
"20011217",6.35
"20011218",6.26
"20011219",6.5
"20011220",6.3
"20011221",6.35
"20011224",6.25
"20011226",6.6
"20011227",6.35
"20011228",6.6
"20011231",6.89
"20020102",6.55
"20020103",6.2
"20020104",6.02
"20020107",6.55
"20020108",6.75
"20020109",6.6
"20020110",6.36
"20020111",6.31
"20020114",6.21
"20020115",6.16
"20020116",6.0
"20020117",5.61
"20020118",5.45
"20020122",5.75
"20020123",5.6
"20020124",5.0
"20020125",5.25
"20020128",5.11
"20020129",5.0
"20020130",5.5
"20020131",5.7
"20020201",6.24
"20020204",6.01
"20020205",5.86
"20020206",5.7
"20020207",5.65
"20020208",5.5
"20020211",5.53
"20020212",5.55
"20020213",5.43
"20020214",5.36
"20020215",5.29
"20020219",5.41
"20020220",5.44
"20020221",5.25
"20020222",5.0
"20020225",5.14
"20020226",5.06
"20020227",4.65
"20020228",4.5
"20020301",4.95
"20020304",4.75
"20020305",4.95
"20020306",4.95
"20020307",5.0
"20020308",4.9
"20020311",5.0
"20020312",5.0
"20020313",5.15
"20020314",5.0
"20020315",5.0
"20020318",5.04
"20020319",4.75
"20020320",4.76
"20020321",4.7
"20020322",5.0
"20020325",5.0
"20020326",4.9
"20020327",5.24
"20020328",5.24
"20020401",5.1
"20020402",5.25
"20020403",5.15
"20020404",6.0
"20020405",6.26
"20020408",6.25
"20020409",6.15
"20020410",6.24
"20020411",5.9
"20020412",5.91
"20020415",6.24
"20020416",6.29
"20020417",6.08
"20020418",6.24
"20020419",6.24
"20020422",6.24
"20020423",5.8
"20020424",5.65
"20020425",5.4
"20020426",5.49
"20020429",5.45
"20020430",5.7
"20020501",5.51
"20020502",5.35
"20020503",5.36
"20020506",5.0
"20020507",4.75
"20020508",4.44
"20020509",3.74
"20020510",4.09
"20020513",4.4
"20020514",4.35
"20020515",3.9
"20020516",4.4
"20020517",4.23
"20020520",4.21
"20020521",4.1
"20020522",4.23
"20020523",4.46
"20020524",4.95
"20020528",4.25
"20020529",4.49
"20020530",4.25
"20020531",4.25
"20020603",4.05
"20020604",3.95
"20020605",4.1
"20020606",4.1
"20020607",4.0
"20020610",4.0
"20020611",3.75
"20020612",3.9
"20020613",3.76
"20020614",4.0
"20020617",3.9
"20020618",3.75
"20020619",3.75
"20020620",3.75
"20020621",3.76
"20020624",3.8
"20020625",3.45
"20020626",3.55
"20020627",3.7
"20020628",3.6
"20020701",3.64
"20020702",3.5
"20020703",3.1
"20020705",3.05
"20020708",3.1
"20020709",3.34
"20020710",3.3
"20020711",3.28
"20020712",3.1
"20020715",2.55
"20020716",2.24
"20020717",2.0
"20020718",2.01
"20020719",2.01
"20020722",1.65
"20020723",1.6
"20020724",1.79
"20020725",1.93
"20020726",1.85
"20020729",2.2
"20020730",2.15
"20020731",2.2
"20020801",2.05
"20020802",2.05
"20020805",2.1
"20020806",2.05
"20020807",2.08
"20020808",2.04
"20020809",2.15
"20020812",2.3
"20020813",2.15
"20020814",2.0
"20020815",1.8
"20020816",1.65
"20020819",1.65
"20020820",1.9
"20020821",1.82
"20020822",2.0
"20020823",2.05
"20020826",2.25
"20020827",2.1
"20020828",2.24
"20020829",2.25
"20020830",2.25
"20020903",2.1
"20020904",2.15
"20020905",1.96
"20020906",1.97
"20020909",2.18
"20020910",2.02
"20020911",2.08
"20020912",1.92
"20020913",1.95
"20020916",1.91
"20020917",2.0
"20020918",1.9
"20020919",1.96
"20020920",1.94
"20020923",1.85
"20020924",1.97
"20020925",1.97
"20020926",1.85
"20020927",1.97
"20020930",1.8
"20021001",1.82
"20021002",1.95
"20021003",1.85
"20021004",1.9
"20021007",1.8
"20021008",1.8
"20021009",1.8
"20021010",1.75
"20021011",1.8
"20021014",1.99
"20021015",1.99
"20021016",1.68
"20021017",1.85
"20021018",1.85
"20021021",1.85
"20021022",1.97
"20021023",1.93
"20021024",1.9
"20021025",2.12
"20021028",2.15
"20021029",2.34
"20021030",2.5
"20021031",3.2
"20021101",3.3
"20021104",3.3
"20021105",3.2
"20021106",3.25
"20021107",3.75
"20021108",3.89
"20021111",3.75
"20021112",3.95
"20021113",3.95
"20021114",4.12
"20021115",4.23
"20021118",3.9
"20021119",3.85
"20021120",3.9
"20021121",3.68
"20021122",3.99
"20021125",4.0
"20021126",3.93
"20021127",3.95
"20021129",4.0
"20021202",3.75
"20021203",3.9
"20021204",3.99
"20021205",3.92
"20021206",3.9
"20021209",3.8
"20021210",3.75
"20021211",3.8
"20021212",3.78
"20021213",3.78
"20021216",3.55
"20021217",3.35
"20021218",3.24
"20021219",3.05
"20021220",3.1
"20021223",3.03
"20021224",3.0
"20021226",3.0
"20021227",3.25
"20021230",3.25
"20021231",3.05
"20030102",3.07
"20030103",3.07
"20030106",3.03
"20030107",3.03
"20030108",3.1
"20030109",3.0
"20030110",2.95
"20030113",2.75
"20030114",2.7
"20030115",2.7
"20030116",2.6
"20030117",2.61
"20030121",2.5
"20030122",2.5
"20030123",2.48
"20030124",2.41
"20030127",2.38
"20030128",2.4
"20030129",2.35
"20030130",2.35
"20030131",2.3
"20030203",2.15
"20030204",2.05
"20030205",1.95
"20030206",1.88
"20030207",1.85
"20030210",1.83
"20030211",1.91
"20030212",2.0
"20030213",2.14
"20030214",2.13
"20030218",2.25
"20030219",2.14
"20030220",2.14
"20030221",2.08
"20030224",2.0
"20030225",2.0
"20030226",2.0
"20030227",2.08
"20030228",2.01
"20030303",2.0
"20030304",2.0
"20030305",2.15
"20030306",2.22
"20030307",2.25
"20030310",2.4
"20030311",2.44
"20030312",2.3
"20030313",2.25
"20030314",2.18
"20030317",2.25
"20030318",2.2
"20030319",2.5
"20030320",2.22
"20030321",2.4
"20030324",2.45
"20030325",2.5
"20030326",2.35
"20030327",2.29
"20030328",2.2
"20030331",2.29
"20030401",2.29
"20030402",2.28
"20030403",2.25
"20030404",2.2
"20030407",2.2
"20030408",2.25
"20030409",2.1
"20030410",2.05
"20030411",2.0
"20030414",1.95
"20030415",1.95
"20030416",2.01
"20030417",1.9
"20030421",1.94
"20030422",1.91
"20030423",1.88
"20030424",1.89
"20030425",1.95
"20030428",1.85
"20030429",1.85
"20030430",1.8
"20030501",1.8
"20030502",1.76
"20030505",1.99
"20030506",1.9
"20030507",1.87
"20030508",1.83
"20030509",1.8
"20030512",1.89
"20030513",1.98
"20030514",1.99
"20030515",1.93
"20030516",2.01
"20030519",2.01
"20030520",2.0
"20030521",2.0
"20030522",1.96
"20030523",2.0
"20030527",2.15
"20030528",1.97
"20030529",2.01
"20030530",2.04
"20030602",2.01
"20030603",2.0
"20030604",2.04
"20030605",2.1
"20030606",2.17
"20030609",2.0
"20030610",2.06
"20030611",2.14
"20030612",2.19
"20030613",2.39
"20030616",2.21
"20030617",2.23
"20030618",2.43
"20030619",2.6
"20030620",2.8
"20030623",2.77
"20030624",2.7
"20030625",2.7
"20030626",2.69
"20030627",2.7
"20030630",2.7
"20030701",2.7
"20030702",2.65
"20030703",2.65
"20030707",2.62
"20030708",2.45
"20030709",2.35
"20030710",2.35
"20030711",2.5
"20030714",2.3
"20030715",2.35
"20030716",2.35
"20030717",2.38
"20030718",2.31
"20030721",2.25
"20030722",2.28
"20030723",2.25
"20030724",2.25
"20030725",2.25
"20030728",2.25
"20030729",2.36
"20030730",2.24
"20030731",2.38
"20030801",2.25
"20030804",2.33
"20030805",2.29
"20030806",2.25
"20030807",2.25
"20030808",2.1
"20030811",2.14
"20030812",2.0
"20030813",1.95
"20030814",2.08
"20030815",2.09
"20030818",2.0
"20030819",2.05
"20030820",2.05
"20030821",2.0
"20030822",2.15
"20030825",2.1
"20030826",2.03
"20030827",2.13
"20030828",2.03
"20030829",1.92
"20030902",2.05
"20030903",2.0
"20030904",2.0
"20030905",1.9
"20030908",1.9
"20030909",1.93
"20030910",1.86
"20030911",1.9
"20030912",1.98
"20030915",1.9
"20030916",1.95
"20030917",1.95
"20030918",1.9
"20030919",1.83
"20030922",1.77
"20030923",1.77
"20030924",1.83
"20030925",1.98
"20030926",2.04
"20030929",2.0
"20030930",1.99
"20031001",2.0
"20031002",2.0
"20031003",1.99
"20031006",2.0
"20031007",1.99
"20031008",1.9
"20031009",1.95
"20031010",1.95
"20031013",1.96
"20031014",1.92
"20031015",1.96
"20031016",1.91
"20031017",2.0
"20031020",1.95
"20031021",1.97
"20031022",1.85
"20031023",1.93
"20031024",1.88
"20031027",2.0
"20031028",2.07
"20031029",2.4
"20031030",2.3
"20031031",2.36
"20031103",2.42
"20031104",2.4
"20031105",2.45
"20031106",2.26
"20031107",2.26
"20031110",2.29
"20031111",2.29
"20031112",2.33
"20031113",2.4
"20031114",2.4
"20031117",2.25
"20031118",2.24
"20031119",2.5
"20031120",2.42
"20031121",2.45
"20031124",2.46
"20031125",2.4
"20031126",2.4
"20031128",2.47
"20031201",2.38
"20031202",2.31
"20031203",2.4
"20031204",2.51
"20031205",2.45
"20031208",2.5
"20031209",2.4
"20031210",2.4
"20031211",2.41
"20031212",2.44
"20031215",2.44
"20031216",2.45
"20031217",2.36
"20031218",2.45
"20031219",2.43
"20031222",2.49
"20031223",2.47
"20031224",2.47
"20031226",3.26
"20031229",3.2
"20031230",3.15
"20031231",3.0
"20040102",3.0
"20040105",3.07
"20040106",3.0
"20040107",3.3
"20040108",3.25
"20040109",3.33
"20040112",3.38
"20040113",3.41
"20040114",3.41
"20040115",3.27
"20040116",3.55
"20040120",3.79
"20040121",4.15
"20040122",4.06
"20040123",4.3
"20040126",4.8
"20040127",4.85
"20040128",4.6
"20040129",4.19
"20040130",4.3
"20040202",4.17
"20040203",4.3
"20040204",4.3
"20040205",4.21
"20040206",4.3
"20040209",4.45
"20040210",4.4
"20040211",4.35
"20040212",4.3
"20040213",4.31
"20040217",4.33
"20040218",4.29
"20040219",4.27
"20040220",4.26
"20040223",4.2
"20040224",3.82
"20040225",3.9
"20040226",4.08
"20040227",4.0
"20040301",4.1
"20040302",4.5
"20040303",4.51
"20040304",4.76
"20040305",4.99
"20040308",4.93
"20040309",4.75
"20040310",4.62
"20040311",4.34
"20040312",4.25
"20040315",4.01
"20040316",3.99
"20040317",4.3
"20040318",4.25
"20040319",4.0
"20040322",4.05
"20040323",3.97
"20040324",3.85
"20040325",4.0
"20040326",4.0
"20040329",4.0
"20040330",3.85
"20040331",3.91
"20040401",3.85
"20040402",3.86
"20040405",4.04
"20040406",4.45
"20040407",4.33
"20040408",4.99
"20040412",4.86
"20040413",4.71
"20040414",4.26
"20040415",4.35
"20040416",4.16
"20040419",4.05
"20040420",3.95
"20040421",3.95
"20040422",3.7
"20040423",4.04
"20040426",4.0
"20040427",3.73
"20040428",3.76
"20040429",3.8
"20040430",3.55
"20040503",3.53
"20040504",3.54
"20040505",3.45
"20040506",3.4
"20040507",3.2
"20040510",2.93
"20040511",3.3
"20040512",3.16
"20040513",3.1
"20040514",3.0
"20040517",2.65
"20040518",2.05
"20040519",2.14
"20040520",2.1
"20040521",2.1
"20040524",2.1
"20040525",2.2
"20040526",2.39
"20040527",2.39
"20040528",2.79
"20040601",2.2
"20040602",2.27
"20040603",2.42
"20040604",2.41
"20040607",2.5
"20040608",2.59
"20040609",2.8
"20040610",2.95
"20040614",3.0
"20040615",3.25
"20040616",3.11
"20040617",3.15
"20040618",3.0
"20040621",3.06
"20040622",3.0
"20040623",2.85
"20040624",3.04
"20040625",3.14
"20040628",3.11
"20040629",3.0
"20040630",2.75
"20040701",2.79
"20040702",2.8
"20040706",2.9
"20040707",2.95
"20040708",2.75
"20040709",2.85
"20040712",2.7
"20040713",2.66
"20040714",2.77
"20040715",2.67
"20040716",2.67
"20040719",2.5
"20040720",2.5
"20040721",2.4
"20040722",2.4
"20040723",2.38
"20040726",2.38
"20040727",2.39
"20040728",2.51
"20040729",2.63
"20040730",2.7
"20040802",2.55
"20040803",2.68
"20040804",2.65
"20040805",2.65
"20040806",2.6
"20040809",2.75
"20040810",2.83
"20040811",2.7
"20040812",2.52
"20040813",2.06
"20040816",2.11
"20040817",2.15
"20040818",2.45
"20040819",2.45
"20040820",2.55
"20040823",2.7
"20040824",2.71
"20040825",2.6
"20040826",2.65
"20040827",2.55
"20040830",2.55
"20040831",2.41
"20040901",2.4
"20040902",2.37
"20040903",2.4
"20040907",2.25
"20040908",2.31
"20040909",2.24
"20040910",2.36
"20040913",2.44
"20040914",2.31
"20040915",2.15
"20040916",2.26
"20040917",2.22
"20040920",2.25
"20040921",2.28
"20040922",2.2
"20040923",2.2
"20040924",2.13
"20040927",2.1
"20040928",2.2
"20040929",2.5
"20040930",2.35
"20041001",2.4
"20041004",2.38
"20041005",2.3
"20041006",2.44
"20041007",2.42
"20041008",2.46
"20041011",2.45
"20041012",2.45
"20041013",2.4
"20041014",2.2
"20041015",2.3
"20041018",2.2
"20041019",2.19
"20041020",2.33
"20041021",2.2
"20041022",2.3
"20041025",2.34
"20041026",2.32
"20041027",2.31
"20041028",2.4
"20041029",2.45
"20041101",2.37
"20041102",2.3
"20041103",2.25
"20041104",2.27
"20041105",2.34
"20041108",2.33
"20041109",2.33
"20041110",2.42
"20041111",2.75
"20041112",2.61
"20041115",2.6
"20041116",2.7
"20041117",2.76
"20041118",2.8
"20041119",2.77
"20041122",2.62
"20041123",2.71
"20041124",2.8
"20041126",2.94
"20041129",2.86
"20041130",2.92
"20041201",3.0
"20041202",3.12
"20041203",3.45
"20041206",3.39
"20041207",3.3
"20041208",3.01
"20041209",3.18
"20041210",3.25
"20041213",3.2
"20041214",3.33
"20041215",3.35
"20041216",3.3
"20041217",3.34
"20041220",3.27
"20041221",3.23
"20041222",3.21
"20041223",3.22
"20041227",3.1
"20041228",2.96
"20041229",2.95
"20041230",3.04
"20041231",3.04
"20050103",2.92
"20050104",3.12
"20050105",3.04
"20050106",2.99
"20050107",3.02
"20050110",2.92
"20050111",2.85
"20050112",2.81
"20050113",2.53
"20050114",2.68
"20050118",2.84
"20050119",2.75
"20050120",2.69
"20050121",2.55
"20050124",2.45
"20050125",2.64
"20050126",2.57
"20050127",2.39
"20050128",2.39
"20050131",2.59
"20050201",2.55
"20050202",2.57
"20050203",2.71
"20050204",2.78
"20050207",2.58
"20050208",2.55
"20050209",2.4
"20050210",2.43
"20050211",2.4
"20050214",2.45
"20050215",2.66
"20050216",2.74
"20050217",2.85
"20050218",3.0
"20050222",2.77
"20050223",3.0
"20050224",3.05
"20050225",3.27
"20050228",3.25
"20050301",3.25
"20050302",3.17
"20050303",3.1
"20050304",3.06
"20050307",3.09
"20050308",3.15
"20050309",3.12
"20050310",3.06
"20050311",3.12
"20050314",2.98
"20050315",3.09
"20050316",3.14
"20050317",3.11
"20050318",3.15
"20050321",3.17
"20050322",3.1
"20050323",3.11
"20050324",3.17
"20050328",3.18
"20050329",3.13
"20050330",3.14
"20050331",3.23
"20050401",3.19
"20050404",3.19
"20050405",3.21
"20050406",3.21
"20050407",3.27
"20050408",3.25
"20050411",3.1
"20050412",3.26
"20050413",3.3
"20050414",3.48
"20050415",3.45
"20050418",3.43
"20050419",3.37
"20050420",3.12
"20050421",3.22
"20050422",3.13
"20050425",3.01
"20050426",3.14
"20050427",3.24
"20050428",3.24
"20050429",3.24
"20050502",3.15
"20050503",3.16
"20050504",3.27
"20050505",3.23
"20050506",3.57
"20050509",3.71
"20050510",3.52
"20050511",3.55
"20050512",3.62
"20050513",3.58
"20050516",3.26
"20050517",3.42
"20050518",3.4
"20050519",3.35
"20050520",3.35
"20050523",3.36
"20050524",3.4
"20050525",3.47
"20050526",3.45
"20050527",3.36
"20050531",3.33
"20050601",3.36
"20050602",3.34
"20050603",3.31
"20050606",3.38
"20050607",3.5
"20050608",3.58
"20050609",3.55
"20050610",3.5
"20050613",3.41
"20050614",3.45
"20050615",3.54
"20050616",3.45
"20050617",3.47
"20050620",3.41
"20050621",3.37
"20050622",3.39
"20050623",3.38
"20050624",3.39
"20050627",3.41
"20050628",3.37
"20050629",3.37
"20050630",3.37
"20050701",3.25
"20050705",3.21
"20050706",3.14
"20050707",3.15
"20050708",3.15
"20050711",3.0
"20050712",3.11
"20050713",3.0
"20050714",2.98
"20050715",3.04
"20050718",3.02
"20050719",2.91
"20050720",2.9
"20050721",2.9
"20050722",3.0
"20050725",2.89
"20050726",2.75
"20050727",2.75
"20050728",2.79
"20050729",2.75
"20050801",2.7
"20050802",2.74
"20050803",2.73
"20050804",2.71
"20050805",2.65
"20050808",2.72
"20050809",2.69
"20050810",2.65
"20050811",2.54
"20050812",2.5
"20050815",2.57
"20050816",2.62
"20050817",2.59
"20050818",2.61
"20050819",2.45
"20050822",2.49
"20050823",2.55
"20050824",2.56
"20050825",2.5
"20050826",2.46
"20050829",2.5
"20050830",2.47
"20050831",2.51
"20050901",2.47
"20050902",2.49
"20050906",2.48
"20050907",2.47
"20050908",2.49
"20050909",2.47
"20050912",2.5
"20050913",2.45
"20050914",2.43
"20050915",2.54
"20050916",2.53
"20050919",2.53
"20050920",2.56
"20050921",2.57
"20050922",2.5
"20050923",2.5
"20050926",2.54
"20050927",2.36
"20050928",2.42
"20050929",2.38
"20050930",2.25
"20051003",2.2
"20051004",2.22
"20051005",2.23
"20051006",2.28
"20051007",2.23
"20051010",2.25
"20051011",2.32
"20051012",2.31
"20051013",2.3
"20051014",2.35
"20051017",2.34
"20051018",2.31
"20051019",2.3
"20051020",2.31
"20051021",2.4
"20051024",2.35
"20051025",2.37
"20051026",2.38
"20051027",2.33
"20051028",2.37
"20051031",2.29
"20051101",2.25
"20051102",2.23
"20051103",2.14
"20051104",2.2
"20051107",2.26
"20051108",2.31
"20051109",2.33
"20051110",2.16
"20051111",2.16
"20051114",2.07
"20051115",2.0
"20051116",1.92
"20051117",1.83
"20051118",1.68
"20051121",1.64
"20051122",1.62
"20051123",1.75
"20051125",1.8
"20051128",1.93
"20051129",1.9
"20051130",1.94
"20051201",1.88
"20051202",1.9
"20051205",1.89
"20051206",1.9
"20051207",1.95
"20051208",1.9
"20051209",1.99
"20051212",1.99
"20051213",1.93
"20051214",1.85
"20051215",1.91
"20051216",1.93
"20051219",1.9
"20051220",1.85
"20051221",1.75
"20051222",2.02
"20051223",2.2
"20051227",1.93
"20051228",1.92
"20051229",1.84
"20051230",1.96
"20060103",1.88
"20060104",1.97
"20060105",2.04
"20060106",1.97
"20060109",1.99
"20060110",1.99
"20060111",1.95
"20060112",1.98
"20060113",1.99
"20060117",1.92
"20060118",1.79
"20060119",1.82
"20060120",1.84
"20060123",1.71
"20060124",1.74
"20060125",1.75
"20060126",1.75
"20060127",1.73
"20060130",1.68
"20060131",1.65
"20060201",1.46
"20060202",1.53
"20060203",1.66
"20060206",1.69
"20060207",1.76
"20060208",1.73
"20060209",1.77
"20060210",1.81
"20060213",1.79
"20060214",1.82
"20060215",1.9
"20060216",1.94
"20060217",1.99
"20060221",1.96
"20060222",2.05
"20060223",2.1
"20060224",2.06
"20060227",2.18
"20060228",2.15
"20060301",2.37
"20060302",2.32
"20060303",2.45
"20060306",2.44
"20060307",2.4
"20060308",2.23
"20060309",2.27
"20060310",2.3
"20060313",2.2
"20060314",2.14
"20060315",2.18
"20060316",2.12
"20060317",2.21
"20060320",2.12
"20060321",2.14
"20060322",2.2
"20060323",2.05
"20060324",1.94
"20060327",1.89
"20060328",2.08
"20060329",2.2
"20060330",2.16
"20060331",2.41
"20060403",2.46
"20060404",2.33
"20060405",2.37
"20060406",2.33
"20060407",2.25
"20060410",2.21
"20060411",2.18
"20060412",2.21
"20060413",2.2
"20060417",2.25
"20060418",2.2
"20060419",2.34
"20060420",2.25
"20060421",2.21
"20060424",2.17
"20060425",2.12
"20060426",2.1
"20060427",2.08
"20060428",2.09
"20060501",2.0
"20060502",2.04
"20060503",1.97
"20060504",1.95
"20060505",2.02
"20060508",1.94
"20060509",1.95
"20060510",1.95
"20060511",1.9
"20060512",1.84
"20060515",1.84
"20060516",1.89
"20060517",1.79
"20060518",1.72
"20060519",1.7
"20060522",1.73
"20060523",1.8
"20060524",1.77
"20060525",1.71
"20060526",1.7
"20060530",1.71
"20060531",1.69
"20060601",1.83
"20060602",2.05
"20060605",2.0
"20060606",1.96
"20060607",1.85
"20060608",1.88
"20060609",1.89
"20060612",1.75
"20060613",1.76
"20060614",1.75
"20060615",1.76
"20060616",1.82
